entity	attribute	value
/m/020trj	http://rdf.freebase.com/ns/people.person.height_meters	1.74
/m/012z8_	http://rdf.freebase.com/ns/people.person.height_meters	1.854
/m/0ms1n	http://rdf.freebase.com/ns/location.location.area	2353.0
/m/0ms1n	http://rdf.freebase.com/ns/location.dated_location.date_founded	1846
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1370420
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2225371
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2453907
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1713907
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1969978
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1760803
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2032742
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1863546
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2163082
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2280415
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1906149
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1597905
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1999337
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1353296
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2480331
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1332369
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2297435
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2316657
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1351080
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1816641
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1497541
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2197658
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1637637
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2381873
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2408488
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1805314
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1476515
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2287070
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1678364
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1556419
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1522108
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1832113
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2353448
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2073484
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2451730
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2411921
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1459475
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2118835
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1426850
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1938264
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2267590
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1398025
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	1814458
/m/0ms1n	http://rdf.freebase.com/ns/topic_server.population_number	2373299
/m/0ms1n	http://rdf.freebase.com/ns/location.statistical_region.hud_id	4811399999
/m/04czhj	http://rdf.freebase.com/ns/organization.organization.date_founded	1988
/m/0jgk3	http://rdf.freebase.com/ns/location.location.area	3418.78430564
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1594130
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1814813
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	629713
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1481333
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1018257
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1055347
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1296261
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1208428
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1667903
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1631723
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	767155
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1132921
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1412641
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1766476
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1447124
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	668170
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1719073
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1746968
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	907011
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1154494
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1233040
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1762334
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1076762
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1095086
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1110862
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1180921
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1263301
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1325375
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1372526
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1522179
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1560649
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1698735
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1741272
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1752757
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1753262
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1766620
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1784722
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	1838844
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	709571
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	840561
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	869233
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	884652
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	942577
/m/0jgk3	http://rdf.freebase.com/ns/topic_server.population_number	986449
/m/0jgk3	http://rdf.freebase.com/ns/location.statistical_region.hud_id	1201199999
/m/083chw	http://rdf.freebase.com/ns/people.person.height_meters	1.89
/m/02p8454	http://rdf.freebase.com/ns/organization.organization.date_founded	1893
/m/083wr9	http://rdf.freebase.com/ns/people.person.height_meters	1.77
/m/0dv1hh	http://rdf.freebase.com/ns/people.person.height_meters	1.93
/m/0dv1hh	http://rdf.freebase.com/ns/people.person.weight_kg	87.5
/m/03fw60	http://rdf.freebase.com/ns/people.person.height_meters	1.88
/m/05lb87	http://rdf.freebase.com/ns/people.person.height_meters	1.854
/m/0p03t	http://rdf.freebase.com/ns/location.location.area	2015.01074984
/m/0p03t	http://rdf.freebase.com/ns/location.dated_location.date_founded	1861
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	524507
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	435904
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	447371
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	507371
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	393547
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	522889
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	431553
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	238134
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	533295
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	315260
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	266555
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	418414
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	249216
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	472208
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	535232
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	526426
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	411993
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	523325
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	371753
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	327847
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	538878
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	457595
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	339731
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	513706
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	355216
/m/0p03t	http://rdf.freebase.com/ns/topic_server.population_number	536922
