head	relation	tail
/m/02079p	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	/m/07ylj
/m/01l1hr	/people/person/gender	/m/02zsn
/m/02w7gg	/people/ethnicity/people	/m/06g4_
/m/0chghy	/film/film_subject/films	/m/02fwfb
/m/0z1l8	/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	/m/0jbk9
/m/0fc9js	/award/award_category/winners./award/award_honor/award_winner	/m/030tj5
/m/05tfm	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	/m/0g3zpp
/m/016yzz	/people/person/profession	/m/0cbd2
/m/0bjv6	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/04fh3
/m/04q00lw	/film/film/runtime./film/film_cut/film_release_region	/m/0345h
/m/01n6r0	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/09s1f
/m/0lx2l	/people/person/places_lived./people/place_lived/location	/m/018dk_
/m/01nm3s	/film/actor/film./film/performance/film	/m/0h03fhx
/m/02vxq9m	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/015fr
/m/057xlyq	/american_football/football_team/current_roster./sports/sports_team_roster/position	/m/047g8h
/m/05yzt_	/people/person/profession	/m/0nbcg
/m/06kl78	/film/film/genre	/m/060__y
/m/05nrg	/location/location/contains	/m/05c17
/m/035wcs	/music/genre/artists	/m/0478__m
/m/025m8y	/award/award_category/winners./award/award_honor/award_winner	/m/0ddkf
/m/05qsxy	/award/award_winner/awards_won./award/award_honor/award_winner	/m/026dg51
/m/033tf_	/people/ethnicity/people	/m/01kkx2
/m/03r8gp	/film/film_subject/films	/m/01mszz
/m/0978r	/location/location/contains	/m/01k8q5
/m/09g0h	/people/person/place_of_birth	/m/030qb3t
/m/0cb4j	/location/location/contains	/m/0r2l7
/m/02_j1w	/sports/sports_position/players./sports/sports_team_roster/team	/m/046fz5
/m/0425hg	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/03f1zhf	/people/person/languages	/m/03_9r
/m/01v9l67	/award/award_winner/awards_won./award/award_honor/award_winner	/m/01ps2h8
/m/02gdjb	/award/award_category/winners./award/award_honor/award_winner	/m/01kvqc
/m/05qd_	/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	/m/03h4fq7
/m/01hjy5	/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency	/m/03z19
/m/02b2np	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02_j1w
/m/0dq9p	/people/cause_of_death/people	/m/06f5j
/m/0jqn5	/film/film/other_crew./film/film_crew_gig/crewmember	/m/06rnl9
/m/03n_7k	/award/award_winner/awards_won./award/award_honor/award_winner	/m/0170s4
/m/0dyztm	/award/award_winner/awards_won./award/award_honor/award_winner	/m/02l6dy
/m/03zm00	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02_j1w
/m/0cqhk0	/award/award_category/nominees./award/award_nomination/nominated_for	/m/0431v3
/m/0gcrg	/film/film/edited_by	/m/0dky9n
/m/03wbzp	/people/person/profession	/m/03gjzk
/m/01l2fn	/film/actor/film./film/performance/film	/m/01l2b3
/m/05p92jn	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/083chw
/m/02x17s4	/award/award_category/nominees./award/award_nomination/nominated_for	/m/011ysn
/m/01_lhg	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02sdk9v
/m/05vtw	/film/film_subject/films	/m/03s5lz
/m/0g824	/film/actor/film./film/performance/film	/m/0b7l4x
/m/0jkvj	/olympics/olympic_games/sports	/m/02vx4
/m/01q3_2	/people/person/profession	/m/0nbcg
/m/015g28	/tv/tv_program/languages	/m/06nm1
/m/03b04g	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/01rzqj	/people/person/profession	/m/02krf9
/m/072bb1	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/05p92jn
/m/014mlp	/education/educational_degree/people_with_this_degree./education/education/student	/m/02qjj7
/m/019lvv	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02sdk9v
/m/012vby	/people/person/places_lived./people/place_lived/location	/m/0d6lp
/m/0hvb2	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0c4f4
/m/0t_4_	/location/hud_county_place/place	/m/0t_4_
/m/02q3fdr	/film/film/produced_by	/m/02q_cc
/m/05zr6wv	/award/award_category/winners./award/award_honor/award_winner	/m/0315q3
/m/01wbsdz	/base/popstra/celebrity/dated./base/popstra/dated/participant	/m/03h_0_z
/m/018vs	/music/performance_role/regular_performances./music/group_membership/group	/m/017mbb
/m/02gdjb	/award/award_category/winners./award/award_honor/ceremony	/m/02cg41
/m/045j3w	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/03rj0
/m/0g5qs2k	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0d0x8
/m/04lgymt	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/01pfkw
/m/01fc7p	/military/military_conflict/combatants./military/military_combatant_group/combatants	/m/0bq0p9
/m/061xq	/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	/m/027pwzc
/m/0hhqw	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/019lvv
/m/01pb34	/film/special_film_performance_type/film_performance_type./film/performance/film	/m/043t8t
/m/02w3w	/music/instrument/instrumentalists	/m/025xt8y
/m/04swd	/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	/m/01tj34
/m/043tz8m	/american_football/football_team/current_roster./sports/sports_team_roster/position	/m/08ns5s
/m/0cj36c	/award/award_winner/awards_won./award/award_honor/award_winner	/m/0cnl80
/m/02sdk9v	/sports/sports_position/players./sports/sports_team_roster/team	/m/06xl8z
/m/02h4rq6	/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	/m/0jjw
/m/0h1p	/award/award_nominee/award_nominations./award/award_nomination/award	/m/040njc
/m/02b9g4	/people/person/profession	/m/03gjzk
/m/048s0r	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/030xr_
/m/07lwsz	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/059j4x
/m/01pcq3	/film/actor/film./film/performance/film	/m/05q_dw
/m/02x0dzw	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0gkz15s
/m/0qy5v	/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	/m/0jbk9
/m/02mz_6	/award/award_nominee/award_nominations./award/award_nomination/award	/m/05ztrmj
/m/01cl2y	/music/record_label/artist	/m/024qwq
/m/07tp2	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	/m/02lq67
/m/047tsx3	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/07ylj
/m/0680x0	/music/performance_role/track_performances./music/track_contribution/role	/m/01vdm0
/m/06pwq	/education/educational_institution/colors	/m/083jv
/m/0525b	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/05dbf
/m/0cqhk0	/award/award_category/winners./award/award_honor/award_winner	/m/05lb87
/m/03l295	/people/person/profession	/m/01445t
/m/01719t	/film/film/other_crew./film/film_crew_gig/film_crew_role	/m/089fss
/m/0dq626	/film/film/genre	/m/07s9rl0
/m/021vwt	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/02k_4g
/m/014g22	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/03q95r
